Investment_ID,Investment_Name,Investment_Category,Department,Region,Start_Date,End_Date,Initial_Investment,Additional_Investment,Total_Investment,Budgeted_Investment,Expected_Revenue,Actual_Revenue,Expected_Cost_Savings,Actual_Cost_Savings,Expected_Return,Actual_Return,Net_Benefit,ROI_Pct,Target_ROI_Pct,ROI_Variance,Payback_Years,NPV,IRR_Pct,Discount_Rate,Investment_Status,Risk_Level,Performance_Rating,Decision_Recommendation,Revenue_Achievement_Pct,Cost_Saving_Achievement_Pct,Investment_Variance,Performance_Score,ROI_Classification
INV-001,ERP Cloud Migration – Central,Technology,HR,Central,25-09-2025,13-09-2027,33630000,2620000,36250000,36270000,44295443.25,44650965.64,1555987.853,1252518.631,45851431.1,45903484.27,9653484.275,0.266303014,0.264867065,0.00143595,1.553438052,-2531801.316,0.084238477,0.112504741,Active,Low,Watch,Review / Restructure,1.008026162,0.804966844,-20000,63.41051043,On Target
INV-002,Brand Repositioning – South,Marketing,Supply Chain,South,23-01-2026,08-11-2027,7490000,530000,8020000,8460000,9041768.032,9120793.519,356078.5464,321968.9582,9397846.578,9442762.477,1422762.477,0.177401805,0.171801319,0.005600486,1.521809134,-593154.0191,0.057028167,0.085785584,Completed,High,Watch,Review / Restructure,1.008740048,0.904207685,-440000,64.87695842,On Target
INV-003,Premium Product Line – West,Product Development,Operations,West,05-08-2025,24-01-2027,34110000,1430000,35540000,36480000,40821273.19,38626368.64,3556096.596,3953686.498,44377369.78,42580055.14,7040055.136,0.198088214,0.248659814,-0.0505716,1.227983765,-5004018.195,0.06343282,0.122143724,Cancelled,Medium,Watch,Review / Restructure,0.946231355,1.111805147,-940000,59.56423593,Significantly Below Target
INV-004,Tier-2 City Expansion – North,Expansion,Finance,North,23-04-2024,31-10-2025,22460000,630000,23090000,24320000,26063425.3,25024555.06,2593160.16,2841181.792,28656585.46,27865736.85,4775736.848,0.206831392,0.24108209,-0.034250698,1.262220788,-1766664.861,0.066126032,0.096382095,On Hold,Low,Watch,Review / Restructure,0.960140687,1.095644548,-1230000,62.5222032,Below Target
INV-005,Automated Packaging Line – East,Equipment,Sales,East,23-07-2024,14-07-2025,27540000,3750000,31290000,30250000,33855626.48,34288709.62,2466361.673,2482722.075,36321988.15,36771431.69,5481431.692,0.175181582,0.160817774,0.014363808,0.850932329,-4940838.028,0.056338011,0.122469625,Active,High,Watch,Review / Restructure,1.012792058,1.006633416,1040000,64.47424749,On Target
INV-006,RPA Finance Rollout – Central,Automation,IT,Central,15-10-2025,30-04-2026,17840000,1060000,18900000,17490000,21918904.33,21989015.25,1956666.454,1619526.767,23875570.78,23608542.02,4708542.021,0.249129207,0.263257713,-0.014128506,0.800557696,-1643427.454,0.079044196,0.114467953,Completed,Medium,Watch,Review / Restructure,1.003198651,0.827696904,1410000,60.27098554,On Target
INV-007,Leadership Development – South,Training,Product,South,27-12-2025,01-05-2028,11690000,1540000,13230000,12170000,13083911.87,11052860.77,2448715.962,2215229.554,15532627.83,13268090.33,38090.32723,0.002879087,0.174045943,-0.171166856,2.264908053,-3378325.055,0.000959083,0.108215889,Cancelled,Low,Underperforming,Review / Restructure,0.84476729,0.904649452,1060000,46.05034886,Significantly Below Target
INV-008,Plant Utility Upgrade – West,Infrastructure,Marketing,West,07-01-2026,10-03-2027,16360000,1260000,17620000,16370000,18270391.77,18724577.38,976615.745,913794.8274,19247007.51,19638372.21,2018372.211,0.114550069,0.092338678,0.02221139,1.049628049,-2875978.807,0.037274472,0.103841033,On Hold,High,Watch,Review / Restructure,1.024859106,0.935674888,1250000,64.26060942,Above Target
INV-009,ERP Cloud Migration – North,Technology,HR,North,06-01-2026,07-01-2027,19340000,1500000,20840000,21430000,22689717.21,25582766.23,1907747.358,1520321.615,24597464.57,27103087.85,6263087.845,0.300532046,0.180300603,0.120231443,0.771022697,-378267.8914,0.0945077,0.101656716,Active,Medium,Good,Review / Restructure,1.127504851,0.796919785,-590000,73.82589354,Significantly Above Target
INV-010,Brand Repositioning – East,Marketing,Supply Chain,East,23-11-2024,30-08-2025,9210000,300000,9510000,9850000,10046184.23,10085255.25,1515144.496,1663386.124,11561328.72,11748641.37,2238641.37,0.235398672,0.215702284,0.019696388,0.809455298,-838664.6033,0.074870558,0.110596636,Completed,Low,Watch,Review / Restructure,1.00388914,1.097839928,-340000,67.22212056,Above Target
INV-011,Premium Product Line – Central,Product Development,Operations,Central,05-08-2024,12-08-2025,20670000,3360000,24030000,25610000,25230102.77,21668940.9,3686889.083,3871983.358,28916991.85,25540924.26,1510924.258,0.062876582,0.203370448,-0.140493866,0.958886572,-5781003.208,0.020676798,0.123640507,Cancelled,High,Underperforming,Review / Restructure,0.858852661,1.050203375,-1580000,51.56533741,Significantly Below Target
INV-012,Tier-2 City Expansion – South,Expansion,Finance,South,08-11-2025,14-10-2027,26920000,2850000,29770000,30060000,29157878.69,30935879.18,5375701.022,4111287.486,34533579.71,35047166.66,5277166.663,0.177264584,0.160012755,0.017251829,1.640673537,-5097183.391,0.056985528,0.129684032,On Hold,Medium,Watch,Review / Restructure,1.06097839,0.764790949,-290000,63.7051147,Above Target
INV-013,Automated Packaging Line – West,Equipment,Sales,West,16-08-2024,21-03-2026,10720000,180000,10900000,11660000,11321576.73,10572226.44,1468756.485,1461475.396,12790333.22,12033701.84,1133701.839,0.104009343,0.173425066,-0.069415723,1.444299868,-1642226.153,0.033915999,0.094303635,Active,Low,Watch,Review / Restructure,0.933812197,0.995042684,-760000,59.64629996,Significantly Below Target
